Frase,Consensuada
" No, tienes que terminar, acuérdate, del movimiento, ahí. Si no, y a mí me pasa, es algo que pasa, que cuando es una distancia muy larga, la técnica la perdemos, ¿sabes? Porque no llegamos. Entonces, para eso, tienes que utilizar más las piernas para tirar. Ahí ha ido agua, que luego ya no va a haber otro turno. Aprovechad para beber agua. Aprovechad para refrescaros, que ya no hay ningún turno más. Vamos a jugar.",2
 Por lo menos dos canciones que son como siete minutitos.,0
Qué pena que no vas a ir en la cámara.,0
"Ah, ¿no?",0
" No lo van a ver, pero bueno, lo puedo decir yo, que has encestado desde casi medio campo.",2
Pero bueno.,0
"Pedro, tú estás aquí, no por nada, que para que ayudes y corrijas. Entonces, si ves alguno, oye, pues tírate una mano, intenta esto, para que sean tus compañeros, tú estás en otro nivel.  Y tú tienes que ayudarme a ayudarles a lanzar mejor. Entonces, cuando ves a alguno que lanza o le entra ganas, le dices, oye, mira, haz esto.",2
30 segundos.,3
"Vamos, que empieza la última tanda.",2
Eh...,0
" ¡Preparados! Álvaro, entras tú en este turno. Descansa alguien de este grupo. Alejandro, ¿qué pasa allí? Dame una pelota. Empezamos a jugar ya. Vamos, Pedro, organízame allí. Quiero ver intensidad, quiero ver partidos.",2
También lo he visto yo.,0
Tú que te has quedado sin... Pero ya sabes que... Ahí.,0
"Venga, lanza la pelota. ¡Preparados!",2
 Últimos cinco minutos de partido.,3
"No, ¿tenéis una ahí?",0
"No, ¿estuve con ellos?",0
Pues ya está.,0
¿Jugáis ahí?,0
¿Allí?,0
"Vamos, Ning.",0
"Vale, última ronda de partidos.  Mira, allí a lo mejor se puede hacer tres.",2
"Vale, ¿sois aquí?",0
"¿Quién falta por venir de ahí, de ver agua?",1
"Pero muy bien, ¿sabes por qué?  O sea, y no porque, y lo que he dicho antes de que sea tu profesora de broma, porque es como matemáticas, te dice, aplica esta fórmula, pues el que la aplica es el que lo consigue. Qué bien, entonces a partir de ahora... Ah, vale, pero bueno, no es eso, por más razón, pero aplícalo para cualquier cosa. Cuando hagamos judo, aplica... Ah, pero el profesor ha dicho que porque adelante la pierna y... Bueno, pues aquello que no se te dé bien.  Va, preparados. Venga, que ya vamos con retraso.",2
"Eh, Nerea, ¿estás descansando?",3
¿Quién está descansando ahí?,3
"Pues Sirhan, tienes suerte que no vas a descansar.",3
"Eh, Ning, ven que necesitamos aquí uno. Ya jugamos tres contra tres. Son cinco minutos sin parar, ¿vale? Más calma, ahí.",2
"Ay, que me pongo nervioso...",3
" Lo importante es que veas la técnica Y lo que tienes que hacer allí, que así, te falta ahí terminar Va, uno, dos, tres, uno, dos, tres Tres contra tres ¿Quién salta? ¿Cuántos segundos tengo para tirar? En tres contra tres, que no estuviste tú en la primera clase, ¿no? Son doce, no son veinticuatro ¿Vale? Es otra norma que Ya sabemos lo de los dobles, eso ya lo sabemos y todo, ¿no? Los dobles Sí, vuelve a cojar Va, preparado, listo ya  Y acordaros de las reglas educativas. Nadie puede encestar dos veces seguidas. Y si tengo la pelota controlada, no me la pueden quitar. Muy bien esa intensidad. Bien ahí.",2
"Sí, sí.",0
"Se nota, se nota.",0
"Se nota, se siente.",0
"Oye, acuérdate que no puedes lanzar encestado. Hemos dicho una regla educativa. ¿Cuál es la regla educativa? Que si la tengo controlada, porque si no, quiero que piensen. No puedes quitarle la pelota. Vete allí.  Y tú ya no puedes encestar dos veces seguidas. Queda la otra regla educativa. Muy bien. Madre mía, qué partido.",2
Balanza de 8 metros.,0
"No, no tiene sentido.",0
"No tiene sentido porque si... Muy bien, Laura. Qué intensidad. Qué intensidad. Qué juego.",2
Estoy viendo.,0
Atención ahí.,0
Movimiento.,2
 ¡Oh!,0
¡Ahí! ¡Lucha! ¡Cuántos pases! Así no se la... ¡Muy bien! Acuérdate que te deje pivotar.,2
¡Un minuto!,3
¡Vamos!,2
" Ay, que me sale el inglés.",0
"¡Vamos! ¡Muy bien! A ver... Ese lanzamiento... Está solo... Quizá...  ¡Sí, sí! ¡La muñeca! ¡Te ha faltado la muñeca! ¡Termina con la muñeca! ¡Muy bien! ¡Ahí, muy bien! ¿Quién se mueve? ¿Quién se mueve? ¿Quién pide la pelota? Pasamos mirando.",2
¡Merea!,0
Me han mirado a... ¡Muy bien!,2
¡Estás soldado!,0
"¡Otra vez a Lorena!  A ver, estás solo, ahora sí. Nos acordamos de las reglas, ¿no? De los pasos y los dobles.",2
"Madre mía, Álvaro, vaya pase.",3
No pasa nada.,1
"Muy bien jugado. Ya veo baloncesto.  Atención. Allí ya lo tienes. No puedes tirar, ¿no? Porque no has estado. Sí, tranquila. Muy bien, ¿eh? He visto grandes avances.",2
Ahora no lo hice.,0
Cuando diga María.,0
¿Se pueden quitar los petos?,0
"Vale, muy bien.  Mis felicitaciones.",2
¿Sabes cómo se dice felicitaciones en inglés?,0
"Ya, pero eso ya lo sabemos.",0
Te voy a enseñar.,0
Kudos.,0
Kudos.,0
"Espera, que vamos a hacerlo bien.",0
En el suelo.,0
Vale.,0
"Sí, para la grabación.",0
Y esto también.,0
" ¿Alba, empiezo?",0
"Vale, chicos, venid aquí todos. Venid aquí, un círculo.",2
Está guapo.,0
"Vale, venga.",0
"Vais a jugar con esto el rato. Venga, venid, porfa, a hacer un círculo.",2
¿Eh?,0
"Sí, vale.",0
"Vale, eh... Chicas, eh... Gracias.",0
"Ya, por favor.",0
 Arancha.,0
"Vale, somos 27.",0
"Tenemos que hacer 4 equipos de 7 o 8 personas, ¿vale? Entonces, lo que quiero que hagáis ahora, hago el equipo, cojo una pelota o dos con mi grupo y me voy 10 minutos a practicar el toque de dedos y el de antebrazos.",2
"Mientras, monto la red y jugamos dos partidos de 10 minutos y mañana es el examen.",3
Mañana es el examen de dedos y de antebrazos.,3
Así que practicarlo.,3
" ¿Queréis hacer el equipo? No, mirad, si tenéis números. Del 1 al 7 es un equipo, del 8 al 15 es otro equipo, del 16 al 23 es otro equipo y del 23 por arriba, otro equipo.",2
¡Venga!,3
¡Coger pelotas!,3
"Chicos, los balones que están aquí...",4
" ¿Quieres la lista para algo, Alba?",0
¿O dejo el ordenador aquí?,0
"No, no, está bien, sí.",0
Vale.,0
"Ya está en marcha, ¿no?",0
Sí.,0
"Vale, tú eres del tercer equipo, Belén. Del 16 al 22 es un equipo. Del 16 al 22 es un equipo.",2
"Cogednos otro, Natalia, tranquila.",1
"Venga, me voy con mi equipo, chicos. Son 10 minutos. Hasta el 7, Marina. Hasta el 7.  Y Carlos también. Carlos. En el año 17, 18. Vale, otro, que yo pongo el de Belén. Vale, el tuyo es el de los últimos, el de Ruano, David. ¡Venga, empiezo a practicar, chicos, porfa! No, contadlo a los ciudadanos y contad los números, que es lo que tiene que ser, exacto. Si nadie sabe que lo estamos organizando todos los días.",2
 ¿Qué haces?,4
¿Alicia?,4
 ¡Rodrigo!,4
¡Rodrigo!,4
¡Coger un balón y coger ahí!,4
"Compartirlas, tío.",4
¡David!,4
¡Rubano!,4
¡David!,4
"Ponéis que hacerlo bien, por favor, en la pared.  Hacerlo bien, que mañana tenemos lucha gallega otra vez.",2
"Diego, no gritéis, por favor.",0
" ¡Eh, lo mato!",0
"Está tensa.  la mano ahí, que si no se destensa muy rápido, tío.",2
"¿Qué has hecho, Arantxa?",1
" ¿Qué tal, vale, chicas?",1
¿Os sale?,1
El de antebrazos es más difícil que el de... El de antebrazos es difícil.,0
"Si os sale el de dedos, estáis más aprobadas.",3
El de antebrazos intentad hacerlo lo mejor posible.,3
"¿Qué haces, Ana?",4
¿Qué haces?,4
Dos minutos y nos ponemos a competir un poquito.,3
"Diego, no le dejo limpiar la pelota.",2
Pobrecito.,4
 Ayer jugando al rugby ¿Te pegaron?,1
"No, me fueron a aplacar y me hicimos cazar contra la cabeza ¿Y el dedo?",0
Este se rompió ¿El rugby?,1
"Me caí al suelo y se me puso esta parte aquí arriba Vale, chicos, chicas Guardad los balones por la bolsa",0
¿Con este no?,0
"No, está grabando y hasta ahora no pasa nada.",0
¿Qué haces?,4
"¿Qué pasa esta, tío?",4
"No sé, se está saliendo mal esta clase.",0
"Vale, venga, dame el salvador.",0
¿Y los probados juntos?,0
"Joaquín, Carlos y Cris. Gaston. Errubano, tú te vas a ir de este equipo también. No, no, no, yo estoy... No, ahí está, tú te quedas. Tiene que quedar, si se tiene que quedar, tiene que ser 23.",2
"Que no, pero Otermin ya se ha ido.",0
"¡Hala, es que chivota!",0
"Quédate ahí. Os he quitado un chico. Entonces, Paulinho, sacas ahí y aquí saca Marina.",2
¿Son muchos?,1
¡Contad los puntos!,2
"Cuidado, Ullana.",1
"Vale, Pablo, rotáis.",2
¿Cómo vais?,1
"Alicia, ¿cómo vais?",1
" Vale, Rotard. Isa, sacas tú. Aitana, Rota, vente para acá. Venga, Rotard, Belén, sacas. Ponte la pelota aquí y golpéala.",2
2-2.,0
 ¿Cómo vais?,1
"Eh, pues hazme caso que no está tan mal, eh.",2
Me voy a desvelar la capita.,0
"Diego, ya.",2
"Que no grites, tío.",4
"Es para desesperarse, pero no gritéis.",1
" ¿Cómo vais, chicos?",1
¿Quién va ganando?,3
¿El equipo de Diego?,3
"¡Ja, Joaquín!",0
"¡No digas eso, tío!",4
¡Maldita sea!,4
"¿Estáis retando cuando recupere el desastre, no?",2
"A ver, ¿crees que es la más fácil hacer esto o hacer esto?",1
 ¡Dáctil!,4
¡Solo a meterle!,4
¡Dáctil!,4
¡Dáctil!,4
¡Con los dedos!,4
¡Diego!,4
¡Vale!,2
¿Qué están haciendo esos?,4
"ah, vale, vale Abril, no grites  Cambio, cambio que me voy.",2
"Gastin, a la calle.",0
¿Cómo vais?,1
" ¡Fuera, fuera, fuera! ¡Saca otra vez, saca otra vez! No te tires la pelota, Arantxa, no te la tires. Déjala quieta y golpeala. ¡Vete, que va a sacar otra vez! Déjala quieta y golpeala. ¡Y ha metido el punto encima! ¡Qué suerte tiene Riego, tío! ¡Sí, gracias!",2
"Ha sido un poco de suerte eso, ¿eh?",0
Lo mato.,0
Balón. Que lo digas eso a tus compañeros.,2
"¿Qué pasa, Gastin?",1
¿Qué te pasa?,1
El equipo es muy malo.,0
¿Y qué más le da?,1
Nadie te va a regalar una copa por ganar al voleibol.,0
"Darcy, no, tendrías que intercalar.",0
"Pues tú, por ejemplo, que estás jugando Marina, un alto y un bajo, un alto y un bajo, ponerte tú ahí.",3
"Para que no haya muchos bajitos juntos, por ejemplo.",3
"David, David, déjate el animal, por favor.",0
"¡Ana! ¡Arriba! ¡Vole con la mano! ¡Ah, Carlos Basti, que no juega nada!  ¡Dartin! ¡Dartin! ¡Andrea! ¡Andrea, dale con los dedos, por Dios! ¡Dartin, sáltale bien!",2
 ¿Está bien?,1
"¡Tírate ahí en plancha y la saca! ¡Tú no vayas con vosotros, ya!",2
¿Cómo va?,1
¿Le está llamando el marcador?,1
¡Recupera el sitio!,2
El cuestionario es igual de largo que el del cuarto y el del tercero.,0
"Que está bien, que la ha hecho, que ya está, no ha entrado, pero está bien.",2
¿Qué pasa?,1
"Ponte como una persona normal, no te tumbes.",4
"Que te sientes, que no te tumbes el banco.",4
"Que no estás en el sofá de tu casa, tío.",4
 ¿Por qué?,4
"Bueno, mañana lo vemos, Alicia, tu examen.",3
Y el examen.,0
¿Lo llevas bien?,1
"Yo confío. ¡Que no le dejo en el pie! ¡Que no tengo como decírselo!  yo confío  Vamos de en serio. Joaquín, deja eso. Dustin.",2
"Contrólate, por Dios.",4
 ¡David! ¡Diego!,2
¡Que perdéis mucho tiempo!,4
¿Y la señora?,0
¡Dentro! Pues empieza bien.,2
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
¡Alberto!,4
 ¡Pablo!,4
¡Diego!,4
¡Diego!,4
¡Diego!,4
¡Diego!,4
¡Diego!,4
 no no no no,4
 ¡Gustin!,4
"Solo grita, solo va a gritar.",4
"A ver tú, que se está grabando.",4
"Te va a denunciar por acoso, tío.",4
 ¡Ruano!,4
"Evítalo, tío.",4
Controla.,4
¿Cómo vais?,1
"Os tenéis que hablar, tú. La traje, la tira. La trajo, tío.  ¿Te dejes rotar, chicos? 4-4. Buena... Joder, él.",2
"O sea, no tengo ni bolsillos ni móvil ahí metido.",4
 ¿No os ha gustado dejar el móvil ahí y jugar sin el móvil?,4
¿Cómo vais?,1
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
¡Valcán Abulsaki!,4
" Belén, ¿cómo vais?",1
"¡Belén, dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale! ¡Dale!  sí sí",2
"Rodrigo, contrólate.",4
"Rodrigo, contrólate, ¡pum!",4
"¿Cómo vais, carol?",1
Yo estoy contando los puntos ya.,3
"Sí, los de los yo, Abril.",3
¡Abril!,0
¿Cómo vais?,1
"¡Tres, tres!",3
"¡Tres, tres!",3
"¡Diez, seis!",3
"¡Ah, diez, seis!",3
Esa quince.,2
 ¡10-7!,3
"Venga, agilizarlo que queda poquito tiempo y tenéis que acabar. ¡Fuera!",2
"¡Saca, lo mato!",0
¡11-7!,3
"¡Qué listo, eh!",2
 ¡12-7!,3
"¡Abril, abril, quieta!",2
 ¿Se puede repetir?,0
¿Cómo va?,1
" punto de partido si ganan se acabó ¡Isabel, que vas tú!",2
"No digo nada, que va a ser de gana.",4
"Vale, nos sentamos todos. Empieza la clase. ¿Estáis...? Sí, sí, te lo tienes que poner, ¿vale? O sea, nadie sabe quién eres.",2
Tú eres ahora el 22.,1
De aquí a final de curso te voy a llamar 22.,1
"Estamos todos, ¿no? Ahora os lo explico. El chicle, a la basura.",2
"5, 4, 3, 2...",3
¿Uno?,3
"Vale, os explico lo que empezamos a hacer. Empezamos con dos nuevas unidades, que son las que vamos a tener hasta la semana del 6 de marzo, que son evaluaciones. Mientras tanto, a la vez, tenemos el Project. ¿Qué continente erais?",2
América.,0
"Vale, pues ya hablaremos de eso. La clase hoy va a ser toda en español. Os vais a enterar de todo. Entonces, ¿qué vamos a dar hoy? Los días que tenemos pabellón, estamos con habilidades gimnásticas. Los días que estamos fuera, estamos con cabullería. Fuera. Habilidades gimnásticas, ¿cómo lo vamos a organizar? ¿Quién cree que conoce algo de lo que hayamos visto previamente que tenga relación con habilidades gimnásticas? Dime.",2
Volteretas.,0
"Hemos visto volteretas... ¿El Zen, Pokai, Tenno, Ukemi de Judo tiene relación con habilidades gimnásticas?",2
Sí.,0
De hecho... ¿Qué es la bola así?,2
El Kimball.,0
"¿Qué más? ¿Qué más hemos visto que tiene relación? Darío, estoy aquí. No estoy en Marcos. ¿Qué más hemos visto que tiene relación?",2
Ayer en el D me lo dijeron a la primera.,3
"¿La voltereta ya lo hemos visto? Puede que hayamos visto condición física, hayamos visto fuerza. ¿Hayamos visto flexibilidad? Las habilidades gimnásticas tienen mucho... Tiene mucho de condición física. Y vamos a aprovechar que hemos visto el judo y sabemos hacer el Zenpo Kaiten Ukemi todos, que sabéis qué caída es. De sobra, porque os lo habéis estudiado. Para las primeras sesiones. ¿Cómo vamos a organizar habilidades gimnásticas?",2
Todos vais a tener un carnet de gimnasta.,1
Si se pierde es vuestra responsabilidad.,1
"Esto es como las indiacas. Porque yo al final de la evaluación de la unidad didáctica os voy a pedir vuestro carnet de gimnasta. El carné os lo voy a ir sellando según las habilidades que consigáis. ¿Tenéis? Tres niveles y uno de más. Os los explico. Si vosotros conseguís el nivel 1, es porque sabéis realizar las habilidades que están colocadas en el nivel 1. Hoy no vamos a empezar. Hoy vamos a hacer una clase súper sencilla de habilidades. Va a ser todo equilibrios, giros y nada más. Después lo vamos a ir viendo todo en progresión. Y después ya realizaremos las actividades para completar los niveles. Chicos, que lo de hoy no nos importa esto. Yo os lo estoy enseñando, pero no os pongáis a hablar cada palabra. Si consigo el nivel 2, es porque sé realizar las habilidades que tenemos en el nivel 2. El nivel 3 lo vais a diseñar vosotros. Es una secuencia de tres o cuatro movimientos enlazando estas habilidades. Y vosotros la diseñaréis.",2
"Ahora, hay gente que está sudando porque está pensando, no sé hacer la voltereta.",1
"No he hecho el Zen Pokai Tenu Kami, voy a hacer la voltereta.",1
"Si yo no sé pasar de la voltereta, aquí vais a aprender a hacer muchas cosas.",1
"Y todo el mundo sabrá hacer las cosas, ¿vale?",1
"De hecho, es el objetivo.",2
"Si yo no sé, no voy a pasar al nivel 2 y mi nivel para sacar un 10 va a ser el nivel 1.",1
"Y cuando tenga que hacer la secuencia del nivel 3, pues enlazaré varios ejercicios del nivel 1.",2
Esto está adaptado a todos.,1
"¿Cómo puedo llegar al 10? Al 10 solo se llega de una manera, que es el nivel pro. Yo solo os voy a sellar si veo que durante todas las clases estáis ayudando a vuestros compañeros y colaborando. De hecho, luego estoy todo el día con la tablet poniendo tic. Cuando yo estoy haciendo una voltereta, a mí lo primero y lo único que me preocupa en habilidades gimnásticas es que os ayudéis entre vosotros. Si estamos haciendo una voltereta y tres personas, dos que ayudan, uno que realiza. Si veo que alguien constantemente está, como cuando colocábamos las colchonetas, de arquitecto mirando al resto, ese no va a llegar al 10 nunca en la evaluación porque no cumple el último ítem. Cuando acabe la evaluación os pediré vuestro carné. Si no lo tenéis, ahí a vosotros, porque yo no os lo puedo sellar. Veremos a qué nivel habéis llegado y se pone la nota de la evaluación. Que lo vais a hacer todo, que es sencillísimo. Vale, pues ya veremos qué hacemos, ¿vale? Hasta marzo. ¿Lo habéis entendido todos? Vale, pues empezamos la clase. ¿Qué vamos a hacer hoy? Vamos a hacer primera sesión de habilidades gimnásticas. Va a ser todo giros y equilibrios en un circuito ordenado por estaciones. Es todo súper sencillo. Vamos a aplicar lo que ya conocemos. El equilibrio lo tenéis vosotros porque sois súper coordinaditos. Y vamos a aplicar cosas que hemos visto de judo porque los usiros nos vienen muy bien para hacer la voltereta hacia atrás, los tempos nos vienen muy bien para hacer la voltereta hacia adelante y todo lo vamos a ir viendo por estaciones. ¿Lo habéis entendido? Cierra la puerta.",2
"Sí, claro.",1
"Vale, empezamos calentando. Os explico el juego. Os explico el juego. Vamos a ir todos corriendo por todo el pabellón. No se puede tocar ninguna colchoneta ni nada que haya por el suelo porque todo está estratégicamente colocado. Haciendo el movimiento que yo os diga. Por ejemplo, el primero va a ser ir corriendo brazos adelante. Cuando yo diga algo y pite, tenéis que hacer ese algo. Por ejemplo, todos tocando la puerta. Y el último que llegue... Todos corriendo, brazos hacia delante. No se puede tocar nada, tendré que saltarme, tendré que ir por detrás de los bancos. ¡Preparados! Brazos hacia delante. Puedo correr por aquí si quiero, que tenéis todo el patio. ¡Listos! ¡Todo el mundo encima de una espaldada! ¡Todo el mundo abajo corriendo, rodillas arriba!",2
¡Puedo ir por cualquier lado!,1
¡Puedo coger cualquier lado para realizar la actividad!,1
¿Tienes tanto tiempo?,2
"Venga, rodillas arriba, me puedo meter por cualquier lado, puedo cambiar de sentido.",1
"Chicos, parecéis una manada de elefantes el uno detrás del otro. ¡Listos! Uy, cómo os calláis, ¿eh? Todo el mundo encima de la colchoneta grande. Vale, venimos todos. Talones al culo. Rápido, rápido, rápido, rápido. Atentos, si no tenemos... Si no tenemos trabajo en equipo y no nos coordinamos, no sé cómo vais a entrar en un sitio más pequeño. Talones al culo. Talones al culo. Que no corráis dando vueltas. ¡Listos! ¡Vete, vete, vete! ¡Talones al culo! ¿Qué os pasa? ¿Que os quedáis en el mismo sitio? ¡Todo el mundo! ¡Talones al culo! ¿Por qué me seguís? Si no os coordináis no entráis y trabajáis todos, ¿eh? ¿Por qué me seguís? ¡Todo el mundo encima de esas tres colchonetas azules! ¿Estamos? Todo el mundo corriendo, moviendo muñecas. No, no se puede.",2
"Perdón, número uno.",1
No volverá a suceder.,1
"Más rápido. Más rápido, moviendo muñecas, cambio de sentido. Más rápido. Mucho más rápido. Todo el mundo encima de estas tres colchonetas verdes. ¡Gimena! ¿Estáis...? Ahora, si me choco con vosotros, os toca hacer dos sentadillas. Si digo más rápido, se tiene que notar el cambio de velocidad. ¿Listos? Todo el mundo corriendo, hombros hacia atrás. Venga, va, va, va. Tocado, tocado. Dos sentadillas. Venga, vamos, vamos, vamos. Hombros hacia atrás. Preparados. ¡Ay! ¡Ay! ¡Más rápido! ¡Más rápido! ¡Todo el mundo encima de esos tres bancos! ¡Cooperad! ¡Ayudad! ¡Ayudad! ¡Ayudad! ¡Ayudad al resto que entráis todos! ¡Ayuda al resto que entráis todos! Vale, todo el mundo abajo, repetimos. Rápido, rápido, rápido, carrera lateral. Si os toco, dos sentadillas. Todo andando, ¿vale? Todo andando. Listo, más rápido. Más rápido. Tocada. Más rápido. Todo el mundo encima de estos bancos.",2
"No, no, es posible.",0
"Es posible. Ayudaos para poder subir. Que no le tires. Sois un equipo. Ayudaos para poder subir. Margot, tienes que estar encima. Vale, ¿estamos? Pues ahora, todo el mundo se va a colocar según sus grupos del project. Que os lo sabéis, ¿verdad? Mateo.",2
"Me he caído, ¿eh?",1
Yo también.,1
Es traicionero.,1
"Vale, no pasa nada.",1
"Estamos en grupos de proyectos. Vale, necesito una cosa, Marcos, Darío, ya que estáis ahí, vuestro grupo va a coger esta colchoneta grande y la va a sacar. Yo la saco para acá y la meto ahí en ese hueco, ¿vale? Ayudadles, porfa. Oye. Ayudales. No, no, no hay que tirarla, hay que sacarla, ¿vale?",2
"Bueno, te acabas de enterar después de 20 minutos.",1
Si la he visto hace 20 minutos.,1
Vas a ser Instagramer.,1
"¡Estamos! Vale, explico ya.",2
"Ayudadles, porfa, que necesitan un ingeniero.",0
"¿Estamos? Vale, Marcos, tu equipo necesito que me coja esa colchoneta y me la acerque un poquito más para acá, ¿vale?",2
¿Hasta dónde?,0
¿Hasta dónde?,0
"Hasta aquí, más o menos.",2
¿La línea amarilla?,0
Ahí está.,2
¿Esto ha sido ahora?,1
Sí.,0
"Vale, ¿quieres ir al baño a echarte agua?",1
Sí.,0
¿O no?,1
Sí.,0
"Sí, eso se pasa rápido.",1
"Estamos todos, ¿no?",2
"Madre mía, los ingenieros de clase.",0
"Venga aquí. Vale, espera, espera, espera. No, no, no, quieto, quieto, quieto, Marcos. Ponla aquí. Coge ese y la pones aquí. Vamos a hacer volteretas.",2
"Que no, hoy no vas a hacer ni una.",1
¿No sabes?,2
"Sí, pero que nadie me vea, ¿no?",0
Pero si todo el mundo va a estar haciendo su trabajo.,1
"¡Perfecto! Vale, os explico el trabajo. Tenemos... Tenemos... Ahí no me escucháis. Tenemos siete estaciones. Y sois cinco grupos. Siete estaciones, cinco grupos. Yo os voy explicando todas. Cada grupo se coloca en una estación distinta. Pero si no estáis atentos a todas las estaciones, no os vais a enterar de lo que explico. Por eso vais a estar en absoluto silencio. ¿Verdad?",2
Sí.,0
"Vale, primera estación. Nos vamos a colocar siempre mirando a esas espalderas. ¿Y qué vamos a hacer? Rodar. Yo me tumbo, me coloco tumbado y lo que voy a hacer es estirado, rodar hasta el final. La croqueta, sin mirar a la croqueta, ¿vale? Mirando a esas espalderas. Siguiente estación, ¿qué grupo se coloca aquí?",2
"Vale, los croquetos.",0
"Siguiente estación, en colchoneta grande, voy a entrar corriendo y voy a hacer la croqueta. No voy a hacer una voltereta ni nada, entro corriendo y hago la croqueta. Y me voy para allá y me vuelvo a colocar en la fila. ¿Quién se coloca aquí? Siguiente estación. Vamos a mezclar equilibrio con flexibilidad dinámica. Vamos a utilizar solo la pierna derecha. Todo el mundo sabe cuál es su derecha, ¿verdad? Y desde aquí, con la derecha solo, tengo que ir bajando, bajando, bajando, bajando en equilibrio hasta tocar el banco. Lo consigo, tres pasos hacia delante y lo vuelvo a realizar. Bajando, bajando, bajando, bajando hasta tocar el banco. Lo hago, tres pasos hacia delante y entra el siguiente. Siguiente grupo aquí. Siguiente estación. Todo el mundo recuerda el Shiro Ukemi, ¿no? ¿Cuál es el Ushiro Ukemi?",2
Atrás.,0
"Muy bien. Pues entonces me coloco aquí, ruedo hacia atrás, golpeo y me levanto. ¿Entendido? Siguiente estación. ¿Vosotros Ushiro? Perfecto. Me voy a colocar en el banco con cuidado, me puedo ayudar de la espaldera para subir y voy a ir andando a lo largo de los tres bancos. Cuando llegue al final, tengo que tener cuidado de dónde pongo el pie en el siguiente, ¿vale? Otro equipo aquí.",2
"A ese nos ha gustado, ¿no?",1
Siguiente estación.,2
El que más os guste a vosotros.,1
"Lo voy a empezar desde cuclillas o semicuclillas. Me coloco aquí y desde aquí voy a hacer el centro girando hacia adelante. Y el último. Vamos a hacer el mismo, pero en carrera. Es otro. Vengo corriendo, corriendo, corriendo... Cada grupo. Andar sobre la barra. Andar normal, pero es una barra así de pequeña. Sin caerte. Tenemos un minuto de trabajo en cada estación. No se descansa. ¡Gonzalo!",2
¿Ya?,3
"Gracias, chicos. ¿Estáis decidiendo quién va primero? Os ordenáis por número de camiseta. Un minuto de trabajo, el descanso que voy a tener es de 30 segundos, que va a ser más o menos lo que tardéis de rotar de estación a estación. ¿Preparados? Un minuto de trabajo, 30 segundos de descanso, que más o menos es lo que vas a tardar de rotar de una en una. Roto, según las he explicado, de esta a esta, de esta a esta, de esta a esta, de esta a esta, a los bancos equilibrio, cempo y cempo corriendo. ¿Preparados? Un segundo, que coloco el crono. listos sujeta ahí ya muy bien y me voy corriendo para allá eso es me voy corriendo para allá vale si no sabes croqueta que eso no es vale venga siguiente y me voy corriendo para allá eso es Venga, hasta el final, hasta el final, hasta el final. Estirado, estirado, estirado, estirado. Es croqueta, no tempo, ¿eh? Tengo que hacer la croqueta, eso es. Santi, ¿recuerdas cuál era tu derecha, no? Muy bien. Cuidado, cuidado, cuidado, cuidado. Si hay alguien en la colchoneta, no me tiro.",2
Perdón.,1
"¡Tres, dos, uno, cambio! Venga, nos colocamos en la siguiente estación. Ayúdame a tirar, Martina. Todos sabéis qué tenéis que hacer aquí. Sabéis qué tenéis que hacer aquí. Aquí no tenemos a nadie. ¿Dónde va esto, eh? Venga, bájate la manga, ¿vale? Prepara... A ver... Ya os lo preguntan ellas porque nosotros tampoco lo entendemos, ¿vale? ¡Preparados! Hay gente que no sabe cuál es su derecha y ha hecho ese mal en la primera ronda. ¡Preparados! ¿Listos? ¡Ya! Muy bien, muy bien.",2
¿Qué te pasa?,1
Que era muy fácil.,0
"Pierna estirada la de atrás, ¿vale? Pierna estirada, estirada, estirada, estirada, estirada, estirada, estirada, estirada. Eso es. Pierna estirada y toco banco. Pierna estirada y toco banco. Eso es. No hemos hecho ninguna voltereta hoy. Martín, túmbate bien y estira los brazos. No, tú no. Sí, sí, sí. Eso está perfecto. Eso es. Cuidado con saltar. Tengo que caer rodando. Venga, va. Abajo y golpeo. Eso es. Abajo y golpeo. 36925 Cambio. 30 segundos. Preparados. ¿Listos? Ahí, pierna derecha, pierna de atrás estirada y tengo que tocar. No, porque tú ruedas, te la tienes que proteger. ¿Listos? Tres. ¿Una persona sentada? Pensaba. ¿Listos? ¡Ya! Pues no lo sé.",2
Quítate la zapatilla y lo haces descalza.,1
"Muy bien. Si no sé... Venga, va. Tú sabes.",2
"Si no sabéis, rodamos como en la croqueta, como en el otro ejercicio, ¿vale?",1
"Eso es. Eso es, me protejo la cabeza, venga, va. Con el hombro, con el hombro, con el hombro. Así, más o menos. Con el hombro.",2
"A ver, Melona, pero tú metes la cabeza como en una voltereta.",0
"Tienes que meter el brazo, ¿vale? Venga, para abajo. Agacha, agacha, agacha, agacha, agacha. ¿Qué tal? ¿No ves que vas con la cabeza?",2
